,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
Stella West,145.95756,,8.91,1.5%,8.93,1.5%,8.95,1.5%,8.97,1.5%,8.99,1.5%,9,1.5%,9.02,1.5%,9.04,1.5%,9.05,1.5%,9.07,1.5%,9.08,1.5%,9.1,1.5%,9.11,1.5%,9.12,1.5%,9.14,1.5%,9.15,1.5%,9.16,1.5%,9.17,1.5%,9.19,1.5%,9.2,1.5%,9.21,1.5%,9.22,1.5%,9.23,1.5%,9.24,1.5%,9.25,1.5%,9.26,1.5%,9.27,1.5%,9.28,1.5%,9.29,1.5%,9.3,1.5%,9.31,1.5%,,,,,
Penwortham,103.36259,,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,6.96,1.2%,,,,,
Deeside,141.94391,,43.221,7.5%,43.291,7.5%,43.371,7.5%,43.441,7.5%,43.511,7.5%,43.581,7.5%,43.641,7.5%,43.701,7.5%,43.771,7.5%,43.831,7.5%,43.881,7.5%,43.931,7.5%,43.991,7.5%,44.041,7.5%,44.091,7.5%,44.141,7.5%,44.191,7.5%,44.241,7.5%,44.281,7.5%,44.321,7.5%,44.371,7.5%,44.411,7.5%,44.461,7.5%,44.501,7.5%,44.531,7.4%,44.571,7.4%,44.611,7.4%,44.651,7.4%,44.691,7.4%,44.721,7.4%,44.761,7.4%,,,,,
Daines,151.98015,,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,1.51,0.3%,,,,,
Th. Marsh/Stocksbridge,161.59842,,5.848,1.0%,5.858,1.0%,5.858,1.0%,5.868,1.0%,5.878,1.0%,5.878,1.0%,5.888,1.0%,5.888,1.0%,5.898,1.0%,5.898,1.0%,5.908,1.0%,5.908,1.0%,5.918,1.0%,5.918,1.0%,5.928,1.0%,5.928,1.0%,5.928,1.0%,5.938,1.0%,5.938,1.0%,5.948,1.0%,5.948,1.0%,5.948,1.0%,5.958,1.0%,5.958,1.0%,5.958,1.0%,5.968,1.0%,5.968,1.0%,5.968,1.0%,5.978,1.0%,5.978,1.0%,5.978,1.0%,,,,,
Thornton/Drax/Eggborough,69.22865,,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,2.211,0.4%,,,,,
Keadby,86.03201,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,,,,
Ratcliffe,185.67518,,3.117,0.5%,3.127,0.5%,3.127,0.5%,3.137,0.5%,3.137,0.5%,3.147,0.5%,3.147,0.5%,3.147,0.5%,3.157,0.5%,3.157,0.5%,3.167,0.5%,3.167,0.5%,3.167,0.5%,3.177,0.5%,3.177,0.5%,3.177,0.5%,3.187,0.5%,3.187,0.5%,3.187,0.5%,3.197,0.5%,3.197,0.5%,3.197,0.5%,3.207,0.5%,3.207,0.5%,3.207,0.5%,3.207,0.5%,3.217,0.5%,3.217,0.5%,3.217,0.5%,3.217,0.5%,3.227,0.5%,,,,,
Feckenham,214.13411,,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,0.763,0.1%,,,,,
Walpole,113.27725,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,,,,
Bramford,119.24258,,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,0.024,0.0%,,,,,
Pelham,75.1926,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,,,,
Sundon/East Claydon,106.11918,,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,1.282,0.2%,,,,,
Melksham,233.18009,,19.63,3.4%,19.68,3.4%,19.72,3.4%,19.77,3.4%,19.81,3.4%,19.85,3.4%,19.89,3.4%,19.93,3.4%,19.96,3.4%,20,3.4%,20.03,3.4%,20.07,3.4%,20.1,3.4%,20.13,3.4%,20.16,3.4%,20.19,3.4%,20.22,3.4%,20.24,3.4%,20.28,3.4%,20.3,3.4%,20.33,3.4%,20.35,3.4%,20.38,3.4%,20.4,3.4%,20.43,3.4%,20.45,3.4%,20.47,3.4%,20.5,3.4%,20.52,3.4%,20.54,3.4%,20.56,3.4%,,,,,
Bramley,76.73228,,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,0.422,0.1%,,,,,
London,142.44145,,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.7%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.6%,3.876,0.6%,,,,,
Kemsley,65.51442,,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,0.046,0.0%,,,,,
Sellindge,47.47516,,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,0.004,0.0%,,,,,
Lovedean,122.52657,,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,0.047,0.0%,,,,,
S.W.Penisula,299.57007,,11.703,2.0%,11.713,2.0%,11.733,2.0%,11.743,2.0%,11.763,2.0%,11.773,2.0%,11.773,2.0%,11.793,2.0%,11.803,2.0%,11.813,2.0%,11.813,2.0%,11.833,2.0%,11.843,2.0%,11.843,2.0%,11.863,2.0%,11.873,2.0%,11.873,2.0%,11.883,2.0%,11.893,2.0%,11.903,2.0%,11.903,2.0%,11.913,2.0%,11.923,2.0%,11.933,2.0%,11.943,2.0%,11.943,2.0%,11.953,2.0%,11.953,2.0%,11.963,2.0%,11.973,2.0%,11.973,2.0%,,,,,
," 2,900.02 ",, 576.14 ,100%, 577.40 ,100%, 578.62 ,100%, 579.79 ,100%, 580.96 ,100%, 582.06 ,100%, 583.05 ,100%, 584.10 ,100%, 585.10 ,100%, 586.08 ,100%, 586.98 ,100%, 587.89 ,100%, 588.80 ,100%, 589.65 ,100%, 590.48 ,100%, 591.30 ,100%, 592.33 ,100%, 592.84 ,100%, 593.62 ,100%, 594.36 ,100%, 595.05 ,100%, 595.72 ,100%, 596.43 ,100%, 597.10 ,100%, 597.77 ,100%, 598.40 ,100%, 599.03 ,100%, 599.65 ,100%, 600.28 ,100%, 600.87 ,100%, 601.43 ,100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
