name,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu,control,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
Drax - coal units,Coal,Conventional steam,1320.0,Thornton/Drax/Eggborough,,1.0,1.0,1.0,Slack,0,0,0,1,0,1320.0
West Burton,Coal,Conventional steam,2000.0,Keadby,,1.0,1.0,1.0,PQ,0,0,0,1,0,2000.0
Uskmouth,Coal,Conventional steam,0.0,Melksham,,1.0,1.0,1.0,PQ,0,0,0,1,0,0.0
Ratcliffe,Coal,Conventional steam,2021.0,Ratcliffe,,1.0,1.0,1.0,PQ,0,0,0,1,0,2021.0
Dungeness B,Nuclear,AGR,1090.0,Sellindge,5.0,0.03,0.03,0.73,PQ,0,0,0,1,0,1090.0
Hartlepool,Nuclear,AGR,1185.0,Stella West,5.0,0.03,0.03,0.73,PQ,0,0,0,1,0,1185.0
Heysham 1,Nuclear,AGR,1060.0,Penwortham,5.0,0.03,0.03,0.73,PQ,0,0,0,1,0,1060.0
Heysham 2,Nuclear,AGR,1240.0,Penwortham,5.0,0.03,0.03,0.73,PQ,0,0,0,1,0,1240.0
Hinkley Point B,Nuclear,AGR,965.0,S.W.Penisula,5.0,0.03,0.03,0.73,PQ,0,0,0,1,0,965.0
Hunterston B,Nuclear,AGR,985.0,Neilston,5.0,0.03,0.03,0.73,PQ,0,0,0,1,0,985.0
Torness,Nuclear,AGR,1200.0,Torness,5.0,0.03,0.03,0.73,PQ,0,0,0,1,0,1200.0
Sizewell B,Nuclear,PWR,1198.0,Bramford,5.0,0.03,0.03,0.73,PQ,0,0,0,1,0,1198.0
Sutton Bridge,Natural Gas,CCGT,819.0,Walpole,,1.0,1.0,1.0,PQ,0,0,0,1,0,819.0
Baglan Bay,Natural Gas,CCGT,520.0,Melksham,,1.0,1.0,1.0,PQ,0,0,0,1,0,520.0
Severn Power,Natural Gas,CCGT,850.0,Melksham,,1.0,1.0,1.0,PQ,0,0,0,1,0,850.0
Peterborough,Natural Gas,OCGT,245.0,Walpole,,1.0,1.0,1.0,PQ,0,0,0,1,0,245.0
Glanford Brigg,Natural Gas,OCGT,99.0,Keadby,,1.0,1.0,1.0,PQ,0,0,0,1,0,99.0
Blackburn,Natural Gas,CCGT,60.0,Penwortham,,1.0,1.0,1.0,PQ,0,0,0,1,0,60.0
Damhead Creek,Natural Gas,CCGT,805.0,Kemsley,,1.0,1.0,1.0,PQ,0,0,0,1,0,805.0
Rye House,Natural Gas,CCGT,715.0,Pelham,,1.0,1.0,1.0,PQ,0,0,0,1,0,715.0
Shoreham,Natural Gas,CCGT,420.0,Lovedean,,1.0,1.0,1.0,PQ,0,0,0,1,0,420.0
Castleford,Natural Gas,CCGT,56.0,Thornton/Drax/Eggborough,,1.0,1.0,1.0,PQ,0,0,0,1,0,56.0
Sandbach,Natural Gas,CCGT,56.0,Daines,,1.0,1.0,1.0,PQ,0,0,0,1,0,56.0
Thornhill,Natural Gas,CCGT,50.0,Th. Marsh/Stocksbridge,,1.0,1.0,1.0,PQ,0,0,0,1,0,50.0
West Burton CCGT,Natural Gas,CCGT,1332.0,Keadby,,1.0,1.0,1.0,PQ,0,0,0,1,0,1332.0
Barkantine Heat & Power *,Natural Gas,OCGT,1.0,London,,1.0,1.0,1.0,PQ,0,0,0,1,0,1.0
London Heat & Power *,Natural Gas,OCGT,9.0,London,,1.0,1.0,1.0,PQ,0,0,0,1,0,9.0
South Humber Bank,Natural Gas,CCGT,1365.0,Keadby,,1.0,1.0,1.0,PQ,0,0,0,1,0,1365.0
Langage,Natural Gas,CCGT,905.0,S.W.Penisula,,1.0,1.0,1.0,PQ,0,0,0,1,0,905.0
Corby,Natural Gas,CCGT,407.0,Ratcliffe,,1.0,1.0,1.0,PQ,0,0,0,1,0,407.0
