Site Name,Installed Capacity (MWelec),Turbine Capacity (MW),No. of Turbines,x,y
Fen Farm Solar Park,1.0,,,0.0690355289907057,53.423306297319634
Manor Farm,4.7,,,-4.836359021967595,50.33711548617598
Nanterrow Farm,4.7,,,-5.368193407589212,50.217911973133404
Howton Farm,4.4,,,-4.282001664588036,50.442362841255864
East Langford Farm,5.0,,,-4.427132452047438,50.870144733438465
Trevemper solar farm,1.7,,,-5.069381051214164,50.39488493580555
Chynoweth Farm,2.9,,,-5.081575054570954,50.30448795403234
Carlton Farm Solar farm,5.0,,,1.3987590768860243,52.804784791771404
Wheal Jane,1.4,,,-5.122853543337719,50.237562476742916
Benbole Farm,2.0,,,-4.782592257610554,50.54012514978833
Langage Solar Farm,5.0,,,-4.008882488587129,50.389106959751835
Grange Solar Farm,4.6,,,-0.8145324935418038,53.02823006346623
Ebbsfleet Farm Solar Farm,4.9,,,1.345854566840314,51.315709025520654
Summerway Drove,2.0,,,-2.965669416650879,51.122697256989134
Puriton Solar Farm,4.6,,,-2.9675205613068183,51.17568215745544
Toyota Solar Farm,4.6,,,-1.5746071319134645,52.87710136961563
Long Sutton Butterfly And Wildlife Park,1.7,,,0.13483298468899185,52.79006575161208
Long Sutton Butterfly And Wildlife Park (extension),1.0,,,0.1358865460183327,52.79037947631131
Westmill Farm - PV,5.0,,,-1.6439867475592174,51.618762373686494
Rhosygilwen Solar Farm,1.0,,,-4.621271050094233,52.03525099609732
Llancayo Solar Farm,3.9,,,-2.916496134987626,51.722748669245185
Beechgrove Farm,4.0,,,-2.922650790259427,50.79034260628539
PARK WOOD SOLAR FARM,5.0,,,-2.672832758907826,51.10519002612224
Promens Solar,1.7,,,1.5957265552381064,52.43755703931756
Malmesbury Solar,5.0,,,-2.108894776717437,51.624330751061535
Trefullock Solar Farm,5.0,,,-4.956532623169106,50.366586241746354
Lower Coombe Farm Solar,1.0,,,-2.831079117276213,50.88521353622246
Durrants Farm Solar,4.5,,,-1.3664268812110092,50.709854906875094
Dunsfold Park Solar Farm,2.0,,,-0.544804342715807,51.11928164842142
Kingston Farm,5.0,,,-2.2441490320166984,51.34659000201306
Lake Farm,5.0,,,-2.0907016120171202,51.49820380838654
Sandhill Solar Park,2.0,,,-3.197347192884682,51.0605295090275
Mingay Farm,5.0,,,0.16618742850856347,52.34495404363305
Marston Solar Farm,4.9,,,-0.690678712048592,52.969190273732664
Vantage Point,1.4,,,-2.4853378617669297,51.86756499561707
Danes Farm,3.3,,,-0.6974634330199628,53.322437832471486
Five Oaks Solar Farm,5.0,,,-0.44594394957020295,51.05952049685245
BIOSSENCE SOLAR PARK,4.5,,,0.48161051409225697,51.32023587162747
HENDRA HOLIDAY PARK SOLAR FARM,1.2,,,-5.055682324911575,50.3995997297482
Crossness Sewage Works PV,1.5,,,0.13771487321847253,51.507986522979806
Higher Hill Farm,5.0,,,-2.6891583190117156,51.0763197676651
Manor Farm (Keinton Mandeville),1.0,,,-2.640932218729708,51.06960753138726
Walton WTW PV,1.8,,,-0.39767801816180237,51.40411808889305
