Site Name,Installed Capacity (MWelec),Turbine Capacity (MW),No. of Turbines,x,y
Fen Farm Solar Park,1.0,,,0.0690355289907057,53.423306297319634
Manor Farm,4.7,,,-4.836359021967595,50.33711548617598
Nanterrow Farm,4.7,,,-5.368193407589212,50.217911973133404
Howton Farm,4.4,,,-4.282001664588036,50.442362841255864
East Langford Farm,5.0,,,-4.427132452047438,50.870144733438465
Trevemper solar farm,1.7,,,-5.069381051214164,50.39488493580555
Chester Energy (East Woolley Farm),5.0,,,-4.48634713918787,50.92351138233334
Chynoweth Farm,2.9,,,-5.081575054570954,50.30448795403234
Carlton Farm Solar farm,5.0,,,1.3987590768860243,52.804784791771404
Wheal Jane,1.4,,,-5.122853543337719,50.237562476742916
Benbole Farm,2.0,,,-4.782592257610554,50.54012514978833
Langage Solar Farm,5.0,,,-4.008882488587129,50.389106959751835
Grange Solar Farm,4.6,,,-0.8145324935418038,53.02823006346623
Ebbsfleet Farm Solar Farm,4.9,,,1.345854566840314,51.315709025520654
Westcott Venture Park Phase 2 & 3,1.3,,,-0.9556995242044585,51.84541194342029
Summerway Drove,2.0,,,-2.965669416650879,51.122697256989134
Puriton Solar Farm,4.6,,,-2.9675205613068183,51.17568215745544
Toyota Solar Farm,4.6,,,-1.5746071319134645,52.87710136961563
Long Sutton Butterfly And Wildlife Park,1.7,,,0.13483298468899185,52.79006575161208
Long Sutton Butterfly And Wildlife Park (extension),1.0,,,0.1358865460183327,52.79037947631131
Westmill Farm - PV,5.0,,,-1.6439867475592174,51.618762373686494
Rhosygilwen Solar Farm,1.0,,,-4.621271050094233,52.03525099609732
Llancayo Solar Farm,3.9,,,-2.916496134987626,51.722748669245185
Beechgrove Farm,4.0,,,-2.922650790259427,50.79034260628539
PARK WOOD SOLAR FARM,5.0,,,-2.672832758907826,51.10519002612224
Promens Solar,1.7,,,1.5957265552381064,52.43755703931756
Malmesbury Solar,5.0,,,-2.108894776717437,51.624330751061535
Trefullock Solar Farm,5.0,,,-4.956532623169106,50.366586241746354
Lower Coombe Farm Solar,1.0,,,-2.831079117276213,50.88521353622246
Durrants Farm Solar,4.5,,,-1.3664268812110092,50.709854906875094
Dunsfold Park Solar Farm,2.0,,,-0.544804342715807,51.11928164842142
Lower Coombe Farm (Bean Field),1.0,,,-2.8378943513964656,50.883150395865975
Ffos Las Racecourse,5.5,,,-4.238657947920284,51.725039127069664
Kingston Farm,5.0,,,-2.2441490320166984,51.34659000201306
Twin Elm Solar Farm,1.0,,,-2.7958796443844705,51.357978480726565
Beckley Solar Farm,1.7,,,-1.679837248244577,50.76180202233473
Colpmans Farm,5.0,,,-0.5610876126796405,52.40562485532941
Porvair International Ltd,1.8,,,0.3876542915158055,52.770017041221344
Frying Down Copse Solar Farm,5.0,,,-1.0694330999866926,51.2142252601985
Pont Andrew Solar Farm,1.5,,,-4.137655844655777,51.77529219658087
Lake Farm,5.0,,,-2.0907016120171202,51.49820380838654
Sandhill Solar Park,2.0,,,-3.197347192884682,51.0605295090275
Mingay Farm,5.0,,,0.16618742850856347,52.34495404363305
Stables Farm,1.5,,,-1.4219743043410873,50.697131659096094
Marston Solar Farm,4.9,,,-0.690678712048592,52.969190273732664
West Bradley Farm,1.5,,,-3.570695126291188,50.91632697573126
Vantage Point,1.4,,,-2.4853378617669297,51.86756499561707
Trelow Farm,1.6,,,-4.929806363733364,50.48987994719993
Great Knowle Farm Solar,3.0,,,-4.376959190728574,50.80422467151723
Airfield Farm PV,5.0,,,0.9501455568827998,52.47458243473581
Lower Bodiniel Farm,5.0,,,-4.738347500490204,50.480026117704966
Chittering Solar Farm,5.0,,,0.22112037340757149,52.31814454048901
Kernow Solar Farm,5.0,,,-5.0054759957379495,50.4297573848834
Lee Farm,5.0,,,-1.4491147019509043,50.692506177935876
The Manor of Cadland Estate,5.0,,,-1.3603152883843945,50.80513651099453
Trenouth Farm,3.6,,,-4.961996395659879,50.494363031878926
Oving Solar Farm,5.0,,,-0.7054268663068595,50.83731834408651
Wyld Meadow Solar Farm,4.8,,,-2.9354528702748044,50.77920615477172
Danes Farm,3.3,,,-0.6974634330199628,53.322437832471486
Five Oaks Solar Farm,5.0,,,-0.44594394957020295,51.05952049685245
Barton Solar Farm,1.2,,,-3.3141220689785964,50.94609010808833
BIOSSENCE SOLAR PARK,4.5,,,0.48161051409225697,51.32023587162747
HENDRA HOLIDAY PARK SOLAR FARM,1.2,,,-5.055682324911575,50.3995997297482
EASTACOMBE SOLAR FARM,3.6,,,-4.335333181181558,50.77300158159811
Wrexham Social Housing PV,5.4,,,-2.9899067983868663,53.04091251371358
Higher Pirzwell Solar Farm,1.2,,,-3.315404008941168,50.874473085822416
Broadgate Solar Farm,1.1,,,-3.739639691066533,50.85229983577373
CRAYSMARSH SOLAR FARM,1.8,,,-2.0946549301281294,51.36264118168757
AMBLESTON SOLAR PANELS,6.0,,,-4.866485205144326,51.89919407571067
Crossness Sewage Works PV,1.5,,,0.13771487321847253,51.507986522979806
Higher Hill Farm,5.0,,,-2.6891583190117156,51.0763197676651
Manor Farm (Keinton Mandeville),1.0,,,-2.640932218729708,51.06960753138726
Walton WTW PV,1.8,,,-0.39767801816180237,51.40411808889305
