name,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu,control,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
Sizewell B,Nuclear,PWR,1198.0,Bramford,5.0,0.03,0.03,0.73,Slack,0,0,0,1,0,1198.0
Green's Lodge Farm,Anaerobic Digestion,Anaerobic Digestion,2.0,Ratcliffe,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.0
Oak Grove Biomass Facility,Anaerobic Digestion,Anaerobic Digestion,2.0,Walpole,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.0
Land at Grange Farm,Anaerobic Digestion,Anaerobic Digestion,1.1,Keadby,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.1
North Tamar Environ Project - Holsworthy  (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.4,S.W.Penisula,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.4
Deerdykes Composting and Organics Recycling Facility (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.0,Denny/Bonnybridge,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.0
Cumbernauld BioPlant  (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.4,Denny/Bonnybridge,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.4
Carr Farm (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.0,Penwortham,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.0
Stoke Bardolph energy crop (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2.0,Ratcliffe,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.0
BV Dairy  (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.5,S.W.Penisula,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.5
South Manchester Resource Recovery Centre (AD),Anaerobic Digestion,Anaerobic Digestion,2.0,Daines,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.0
Reliance Street Mechanical Biological Treatment Facility (MBT),Anaerobic Digestion,Anaerobic Digestion,2.0,Daines,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.0
Fenmarc Fenland AD Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Walpole,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.5
Marsh Farm  (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.4,Walpole,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.4
Thornton Waste Recovery Park (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.9,Penwortham,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.9
Farington Waste Recovery Park (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.9,Penwortham,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.9
Fernbrook AD Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Sundon/East Claydon,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.5
Sefter Farm AD Plant (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.0,Lovedean,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.0
Brookfield Farm AD Plant (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.3,Feckenham,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.3
Cassington AD (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.1,Sundon/East Claydon,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.1
Energen biogas cumbernauld,Anaerobic Digestion,Anaerobic Digestion,2.4,Denny/Bonnybridge,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.4
Bristol STW (Waste AD),Anaerobic Digestion,Anaerobic Digestion,10.0,Melksham,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,10.0
A C Shropshire (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2.5,Ratcliffe,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.5
Lowbrook Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.3,S.W.Penisula,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.3
Symonds Farm Power Ltd (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.4,Bramford,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.4
Buttermilk Farm,Anaerobic Digestion,Anaerobic Digestion,1.1,Pelham,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.1
Spring Farm (biomass),Anaerobic Digestion,Anaerobic Digestion,1.0,Walpole,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.0
Trinity Hall Farm,Anaerobic Digestion,Anaerobic Digestion,1.1,Sundon/East Claydon,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.1
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.0,Th. Marsh/Stocksbridge,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.0
Sandhill Anaerobic Digestion Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.0,Thornton/Drax/Eggborough,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,2.0
Abbots moor Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.0,Deeside,0.0,1.0,1.0,1.0,PQ,0,0,0,1,0,1.0
